taster_name,taster_twitter_handle,reviewer_id
Kerin O’Keefe,@kerinokeefe,0
Roger Voss,@vossroger,1
Paul Gregutt,@paulgwine ,2
Alexander Peartree,,3
Michael Schachner,@wineschach,4
Anna Lee C. Iijima,,5
Virginie Boone,@vboone,6
Matt Kettmann,@mattkettmann,7
,,8
Sean P. Sullivan,@wawinereport,9
Jim Gordon,@gordone_cellars,10
Joe Czerwinski,@JoeCz,11
Anne Krebiehl MW,@AnneInVino,12
Lauren Buzzeo,@laurbuzz,13
Mike DeSimone,@worldwineguys,14
Jeff Jenssen,@worldwineguys,15
Susan Kostrzewa,@suskostrzewa,16
Carrie Dykes,,17
Fiona Adams,@bkfiona,18
Christina Pickard,@winewchristina,19
